t*,z*,uz
1500.0075000375,0.0,-0.00249999999683371
1500.0075000375,0.05,-0.0023749999999999
1500.0075000375,0.1,-0.00224999999999998
1500.0075000375,0.15,-0.00212499999999999
1500.0075000375,0.2,-0.00199999999999999
1500.0075000375,0.25,-0.001875
1500.0075000375,0.3,-0.00175
1500.0075000375,0.35,-0.001625
1500.0075000375,0.4,-0.0015
1500.0075000375,0.45,-0.001375
1500.0075000375,0.5,-0.00125
1500.0075000375,0.55,-0.001125
1500.0075000375,0.6,-0.000999999999999999
1500.0075000375,0.65,-0.000874999999999999
1500.0075000375,0.7,-0.00075
1500.0075000375,0.75,-0.000625
1500.0075000375,0.8,-0.0005
1500.0075000375,0.85,-0.000375
1500.0075000375,0.9,-0.00025
1500.0075000375,0.95,-0.000125
1500.0075000375,1.0,-7.22376083980892e-26
